,run_id,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std,cv_precision_mean,cv_recall_mean,train_accuracy,train_f1,train_auc
Logistic_Regression,7a752681b3d2404797983268673498f3,0.7489684818375378,0.008363087146389045,0.6267732778808687,0.013713622543501724,0.8476300160921155,0.01134396611163628,0.5175893307215473,0.7945219423377443,0.7599034502342752,0.6395224898742272,0.8513215747420477
Random_Forest,e5013bf6180d406783f1fbe5fb3f8cea,0.7675685729724498,0.010898165767114876,0.6290640031276353,0.016755396981152488,0.8454066263721105,0.011563232401999983,0.5456635600471499,0.7426330805293114,0.8216669033082493,0.7025106584557081,0.9027860419933142
XGBoost,ecb5d4412c4d4734abbd290f24df0e1e,0.7631693980256792,0.008760183851577258,0.6121509432304824,0.010906020920875404,0.831697611309945,0.010074299339909245,0.5416171489924575,0.7041246720477126,0.8683799517251172,0.797730744054113,0.9588563056464359
LightGBM,f3482ef268284a8599e15585f0a5a3e0,0.7627414470288405,0.011666108612489557,0.615248553029383,0.017397787817886676,0.8338184702091571,0.010553410182611496,0.540254021314959,0.7148141245286806,0.8831463864830328,0.777867746288799,0.9526255180086132
